shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10867637:1,35.28306961,-120.66249084,98,9346.00952248
10867637:1,35.28295135,-120.66239166,99,9361.94552035
10867637:1,35.28292800,-120.66243000,100,9366.28759900
10867636:1,35.28292800,-120.66243000,0,0.00000000
10867636:1,35.28264618,-120.66211700,1,42.29854653
10867636:1,35.28348923,-120.66071320,2,200.48911105
10867636:1,35.28433609,-120.66144562,3,315.75873548
10867636:1,35.28513718,-120.66220093,4,428.16340308
10867636:1,35.28591156,-120.66285706,5,532.85935874
10867636:1,35.28908920,-120.66568756,6,969.72299149
10867636:1,35.28939056,-120.66593933,7,1010.28267897
10867636:1,35.28939056,-120.66593933,8,1010.28267897
10867636:1,35.29037094,-120.66667938,9,1138.32724317
10867636:1,35.29153824,-120.66706085,10,1272.66306148
10867636:1,35.29153824,-120.66706085,11,1272.66306148
10867636:1,35.29339981,-120.66757202,12,1484.79566693
10867636:1,35.29405975,-120.66783905,13,1562.07622859
10867636:1,35.29407883,-120.67018127,14,1774.66006650
10867636:1,35.29407120,-120.67018127,15,1775.50841646
10867636:1,35.29407120,-120.67047119,16,1801.82041521
10867636:1,35.29410934,-120.67372131,17,2096.82219710
10867636:1,35.29410934,-120.67372131,18,2096.82219710
10867636:1,35.29410934,-120.67523956,19,2234.61391506
10867636:1,35.29412842,-120.67701721,20,2395.96185734
10867636:1,35.29412842,-120.67701721,21,2395.96185734
10867636:1,35.29415131,-120.67800140,22,2485.32034367
10867636:1,35.29288864,-120.67801666,23,2625.72909248
10867636:1,35.29290009,-120.67746735,24,2675.60036838
10867636:1,35.29290009,-120.67746735,25,2675.60036838
10867636:1,35.29290009,-120.67485809,26,2912.41178341
10867636:1,35.29280090,-120.67436218,27,2958.75132402
10867636:1,35.29277039,-120.67402649,28,2989.40672787
10867636:1,35.29277039,-120.67402649,29,2989.40672787
10867636:1,35.29278183,-120.67172241,30,3198.52509347
10867636:1,35.29410172,-120.67167664,31,3345.34842856
10867636:1,35.29415131,-120.68276978,32,4352.14300416
10867636:1,35.29415131,-120.68276978,33,4352.14300416
10867636:1,35.29415131,-120.68350983,34,4419.30777658
10867636:1,35.29825974,-120.68350983,35,4876.14423287
10867636:1,35.29827118,-120.68000031,36,5194.64393786
10867636:1,35.29822922,-120.67778778,37,5395.48987058
10867636:1,35.29822922,-120.67778778,38,5395.48987058
10867636:1,35.29821014,-120.67639160,39,5522.21417113
10867636:1,35.29804993,-120.67549896,40,5605.15919265
10867636:1,35.29804993,-120.67494965,41,5655.01105526
10867636:1,35.29813004,-120.67453766,42,5693.44638926
10867636:1,35.29880142,-120.67288208,43,5861.21873701
10867636:1,35.29885101,-120.67263794,44,5884.05080071
10867636:1,35.29888916,-120.67170715,45,5968.62759073
10867636:1,35.29895020,-120.67147064,46,5991.13878549
10867636:1,35.29928970,-120.67099762,47,6048.30472931
10867636:1,35.29975891,-120.67073059,48,6105.83141668
10867636:1,35.30054092,-120.67008972,49,6210.44399969
10867636:1,35.30213928,-120.66848755,50,6440.06873579
10867636:1,35.30242157,-120.66780853,51,6509.22214749
10867636:1,35.30260086,-120.66687012,52,6596.68352119
10867636:1,35.30287933,-120.66609955,53,6673.15970709
10867636:1,35.30305862,-120.66529846,54,6748.54002629
10867636:1,35.30366898,-120.66446686,55,6850.03418986
10867636:1,35.30382919,-120.66403961,56,6892.70235681
10867636:1,35.30395126,-120.66349030,57,6944.36561353
10867636:1,35.30234909,-120.66304779,58,7126.98862516
10867636:1,35.30229433,-120.66324281,59,7145.70412998
10867636:1,35.30284119,-120.66043854,60,7407.34859401
10867636:1,35.30287933,-120.65988922,61,7457.37763755
10867636:1,35.30284119,-120.65960693,62,7483.34324269
10867636:1,35.30276871,-120.65940094,63,7503.69991354
10867636:1,35.30266953,-120.65917969,64,7526.60750081
10867636:1,35.30247116,-120.65886688,65,7562.55602704
10867636:1,35.30184174,-120.65834808,66,7646.90625883
10867636:1,35.30136108,-120.65805054,67,7706.78599679
10867636:1,35.30089188,-120.65801239,68,7759.07424183
10867636:1,35.30044174,-120.65808105,69,7809.51327864
10867636:1,35.30036926,-120.65773010,70,7842.36603333
10867636:1,35.30036926,-120.65773010,71,7842.36603333
10867636:1,35.30033875,-120.65756989,72,7857.29648562
10867636:1,35.30017090,-120.65718079,73,7897.23624555
10867636:1,35.29933167,-120.65653229,74,8007.56239453
10867636:1,35.29727936,-120.65357971,75,8359.52376661
10867636:1,35.29700089,-120.65331268,76,8398.84418226
10867636:1,35.29648972,-120.65312958,77,8458.06297962
10867636:1,35.29600143,-120.65322876,78,8513.09845724
10867636:1,35.29431152,-120.65322113,79,8701.00925024
10867636:1,35.29431152,-120.65322113,80,8701.00925024
10867636:1,35.29109955,-120.65325928,81,9058.18136583
10867636:1,35.29109955,-120.65325928,82,9058.18136583
10867636:1,35.29040909,-120.65323639,83,9134.98513634
10867636:1,35.29021835,-120.65316772,84,9157.09056196
10867636:1,35.28921890,-120.65232849,85,9291.82237940
10867636:1,35.28921890,-120.65232849,86,9291.82237940
10867636:1,35.28852844,-120.65174866,87,9384.90376609
10867636:1,35.28726959,-120.65309906,88,9570.95927013
10867636:1,35.28726959,-120.65309906,89,9570.95927013
10867636:1,35.28659058,-120.65384674,90,9672.47845743
10867636:1,35.28591919,-120.65482330,91,9788.36682306
10867636:1,35.28591919,-120.65482330,92,9788.36682306
10867636:1,35.28379059,-120.65794373,93,10157.47737713
10867636:1,35.28350067,-120.65837860,94,10208.44175260
10867636:1,35.28350067,-120.65837860,95,10208.44175260
10867636:1,35.28339005,-120.65854645,96,10228.02311216
10867636:1,35.28264236,-120.65994263,97,10379.59012129
10867636:1,35.28348541,-120.66069794,98,10495.72807873
10867636:1,35.28432465,-120.66143036,99,10610.30571164
10867636:1,35.28350449,-120.66286469,100,10769.26114181
10867636:1,35.28292800,-120.66243000,101,10844.53321361
10866849:1,35.28292800,-120.66243000,0,0.00000000
10866849:1,35.28295135,-120.66239166,1,4.34207865
10866849:1,35.28348923,-120.66287231,2,78.37255966
10866849:1,35.28464127,-120.66087341,3,300.47414427
